description,hs_code
"100% Cotton Men's T-shirt, Blue",61
"Fresh organic honey, 500g jar",04
"Leather crossbody handbag",42
"Stainless steel kitchen knife set",82
"Canned tuna in olive oil",16
"Organic Arabica coffee beans, 1kg",09
"Wooden dining chair, oak",94
"Children's picture book, hardcover",49
"Wireless Bluetooth headphones",85
"Natural rubber yoga mat",40
"Frozen Atlantic salmon fillets",03
"Extra virgin olive oil, 750ml bottle",15
"Men's leather dress shoes",64
"Ceramic coffee mug, white",69
"Laptop computer with 15-inch screen",84
"Golden delicious apples, bag of 6",08
"Plastic toy building blocks for kids",95
"Woven cotton bed sheets, Queen size",63
"Sparkling mineral water, 1L bottle",22
"Handmade wool area rug",57
"Smart TV 55 inch LED",85
"Aspirin tablets, 100 count",30
"Leather sofa, three-seater",94
"Men's wrist watch with metal band",91
"Dried pasta, 500g spaghetti",19
"iPhone 15 Pro Max smartphone 256GB",85
"Samsung Galaxy S24 Ultra 512GB",85
"MacBook Pro 16-inch M3 Pro",84
"Dell XPS 13 laptop",84
"Apple AirPods Pro wireless earbuds",85
"Sony WH-1000XM5 headphones",85
"Bose QuietComfort 45 headphones",85
"iPad Pro 12.9 inch 5th generation",85
"Microsoft Surface Pro 9",84
"Gaming laptop RTX 4080",84
"4K Ultra HD Smart TV 65 inch",85
"OLED TV 77 inch LG",85
"PlayStation 5 console",85
"Xbox Series X gaming console",85
"Nintendo Switch OLED",85
"DJI Mavic 3 drone",85
"GoPro Hero 11 camera",85
"Canon EOS R5 mirrorless camera",85
"Sony A7 IV camera",85
"iPhone 14 Pro 128GB",85
"Google Pixel 8 Pro",85
"OnePlus 11 smartphone",85
"Men's cotton polo shirt",61
"Women's silk blouse",61
"Denim jeans blue",61
"Wool sweater winter",61
"Leather jacket black",61
"Running shoes Nike",64
"Adidas sneakers white",64
"High heels women's",64
"Boots leather winter",64
"Sandals summer beach",64
"Leather wallet brown",42
"Handbag designer",42
"Backpack laptop",42
"Purse leather",42
"Briefcase leather",42
"Wooden dining table",94
"Office chair ergonomic",94
"Bookshelf wooden",94
"Bed frame queen",94
"Desk wooden",94
"Coffee table glass",94
"Sofa leather 3-seater",94
"Armchair fabric",94
"Wardrobe wooden",94
"Kitchen cabinet",94
"Plastic toy cars",95
"Board game Monopoly",95
"Puzzle 1000 pieces",95
"Teddy bear stuffed",95
"LEGO building blocks",95
"Action figures",95
"Barbie doll",95
"Remote control car",95
"Video game controller",95
"Fresh milk 1L",04
"Cheese cheddar block",04
"Butter unsalted",04
"Yogurt Greek",04
"Cream heavy whipping",04
"Eggs fresh dozen",04
"Live chicken",01
"Live cow",01
"Live pig",01
"Live sheep",01
"Live horse",01
"Beef steak fresh",02
"Pork chops",02
"Lamb meat",02
"Chicken breast",02
"Turkey whole",02
"Salmon fillet fresh",03
"Tuna fish fresh",03
"Shrimp frozen",03
"Crab meat",03
"Lobster live",03
"Fresh tomatoes",07
"Carrots organic",07
"Broccoli fresh",07
"Spinach leaves",07
"Onions red",07
"Potatoes russet",07
"Lettuce iceberg",07
"Cucumber fresh",07
"Bell peppers",07
"Fresh bananas",08
"Oranges navel",08
"Apples red delicious",08
"Grapes green",08
"Strawberries fresh",08
"Blueberries organic",08
"Pineapple fresh",08
"Mango ripe",08
"Avocado hass",08
"Cashew nuts raw",08
"Almonds raw",08
"Walnuts shelled",08
"Pistachios roasted",08
"Coffee beans arabica",09
"Green tea leaves",09
"Black tea bags",09
"Pepper black whole",09
"Cinnamon sticks",09
"Vanilla beans",09
"Salt table",25
"Sugar white",17
"Flour all-purpose",11
"Rice white long grain",10
"Pasta spaghetti",19
"Bread whole wheat",19
"Cereal corn flakes",19
"Olive oil extra virgin",15
"Vegetable oil",15
"Coconut oil",15
"Sunflower oil",15
"Wine red bottle",22
"Beer lager",22
"Whiskey scotch",22
"Vodka premium",22
"Juice orange",22
"Water mineral",22
"Soda cola",22
"Energy drink",22
"Medicine aspirin",30
"Antibiotics tablets",30
"Vitamins multivitamin",30
"Pain reliever",30
"Cough syrup",30
"Bandages adhesive",30
"First aid kit",30
"Rubber gloves",40
"Rubber bands",40
"Tire car",40
"Rubber mat",40
"Paper printer",48
"Notebook spiral",49
"Magazine fashion",49
"Newspaper daily",49
"Textbook college",49
"Cotton fabric",52
"Silk fabric",50
"Wool fabric",51
"Polyester fabric",54
"Bed sheets cotton",63
"Towels cotton",63
"Curtains fabric",63
"Carpet wool",57
"Rug handmade",57
"Blanket wool",63
"Pillow cotton",94
"Ceramic plates",69
"Glass cups",70
"Silverware set",82
"Kitchen utensils",82
"Pots pans set",82
"Knife chef",82
"Scissors office",82
"Hammer tool",82
"Screwdriver set",82
"Drill electric",84
"Saw hand",82
"Paint white",32
"Paint brush",96
"Glue adhesive",35
"Tape masking",96
"Paper towels",48
"Toilet paper",48
"Shampoo bottle",34
"Soap bar",34
"Toothpaste tube",34
"Deodorant stick",34
"Perfume bottle",33
"Makeup foundation",33
"Lipstick red",33
"Eye shadow palette",33
"Mirror bathroom",70
"Clock wall",91
"Watch digital",91
"Watch analog",91
"Jewelry necklace",71
"Ring gold",71
"Earrings silver",71
"Bracelet gold",71
"Umbrella rain",66
"Walking stick",66
"Feathers decorative",67
"Stone marble",68
"Cement bag",25
"Plaster material",68
"Ceramic tiles",69
"Glass window",70
"Glass bottle",70
"Precious stones",71
"Gold bars",71
"Silver coins",71
"Iron ore",72
"Steel beams",72
"Copper wire",74
"Aluminum foil",76
"Lead pipes",78
"Zinc coating",79
"Tin cans",80
"Plastic bottles",39
"Plastic bags",39
"Plastic containers",39
"Plastic toys",95
"Plastic furniture",94
"Plastic pipes",39
"Plastic film",39
"Plastic sheets",39
"Plastic cups",39
"Plastic plates",39
"Plastic utensils",39
"Plastic packaging",39
"Plastic automotive parts",87
"Plastic electronic components",85
"Plastic medical devices",90
"Plastic construction materials",39
"Plastic agricultural products",39
"Plastic household items",39
"Plastic industrial equipment",84
"Plastic sports equipment",95
"Plastic musical instruments",92
"Plastic art supplies",96
"Plastic office supplies",96
"Plastic kitchen items",82
"Plastic bathroom items",39
"Plastic garden items",39
"Plastic pet supplies",95
"Plastic baby products",95
"Plastic beauty products",34
"Plastic cleaning supplies",34
"Plastic storage solutions",39
"Plastic lighting fixtures",85
"Plastic automotive accessories",87
"Plastic marine equipment",89
"Plastic aerospace components",88
"Plastic military equipment",93
"Plastic scientific instruments",90
"Plastic photographic equipment",37
"Plastic optical instruments",90
"Plastic measuring instruments",90
"Plastic control instruments",90
"Plastic medical instruments",90
"Plastic dental instruments",90
"Plastic veterinary instruments",90
"Plastic surgical instruments",90
"Plastic laboratory equipment",90
"Plastic testing equipment",90
"Plastic calibration instruments",90
"Plastic surveying equipment",90
"Plastic meteorological instruments",90
"Plastic hydrological instruments",90
"Plastic geological instruments",90
"Plastic geophysical instruments",90
"Plastic oceanographic instruments",90
"Plastic meteorological instruments",90
"Plastic astronomical instruments",90
"Plastic navigational instruments",90
"Plastic aeronautical instruments",90
"Plastic automotive instruments",90
"Plastic marine instruments",90
"Plastic railway instruments",90
"Plastic traffic control instruments",90
"Plastic industrial process instruments",90
"Plastic environmental monitoring instruments",90
"Plastic safety instruments",90
"Plastic security instruments",90
"Plastic communication instruments",85
"Plastic broadcasting equipment",85
"Plastic telecommunications equipment",85
"Plastic computer equipment",84
"Plastic data processing equipment",84
"Plastic office machines",84
"Plastic accounting machines",84
"Plastic cash registers",84
"Plastic ticket machines",84
"Plastic vending machines",84
"Plastic automatic teller machines",84
"Plastic gambling machines",95
"Plastic arcade machines",95
"Plastic pinball machines",95
"Plastic slot machines",95
"Plastic gaming machines",95
"Plastic amusement machines",95
"Plastic entertainment machines",95
"Plastic recreational machines",95
"Plastic sports machines",95
"Plastic exercise machines",95
"Plastic fitness machines",95
"Plastic gym equipment",95
"Plastic workout machines",95
"Plastic training machines",95
"Plastic rehabilitation machines",90
"Plastic therapy machines",90
"Plastic massage machines",90
